t    f(t)
begin
0.0021555534  -31.757091652135983
0.00216110895  -7.477490483447536
0.0021666644999999997  -7.0857524682238635
0.0021722200499999997  -7.510965436148259
0.0021777756  -7.760719844406268
0.00218333115  -7.988710774434984
0.0021888867  -8.339985509966096
0.00219444225  -8.799374783338303
0.0021999978  -9.487620976155197
0.0022055533499999998  -10.193020094494644
0.0022111088999999997  -33.71693621587154
0.00221666445  -33.20854798261222
0.00222222  -32.752190819316176
0.00222777555  -32.9829641095732
0.0022333311  -32.90133856364851
0.00223888665  -10.473742542072738
0.0022444421999999998  -10.902537912137465
0.0022499977499999997  -11.287898889385156
0.0022555533  -11.669416721844566
0.00226110885  -12.009682563987287
0.0022666644  -12.672864614894879
0.00227221995  -34.85030822090131
0.0022777755  -33.32064072221698
0.00228333105  -33.59093452964415
0.0022888865999999997  -33.59213453529475
0.0022944421499999997  -16.25988703642927
0.0022999977  -11.835235269704027
0.00230555325  -11.836446805230718
0.0023111088  -12.04103398549446
0.00231666435  -12.155998712529007
0.0023222199  -12.348641363790113
0.0023277754499999997  -12.340801664447271
0.0023333309999999997  -10.44651041791753
0.00233888655  -10.378594902761042
0.0023444421  -15.571454886418199
0.00234999765  -31.80552220400358
0.0023555532  -31.515770722265547
0.00236110875  -31.323791129395964
0.0023666642999999998  -31.141926488027885
0.0023722198499999997  -30.731014323742553
0.0023777754  -9.505603629024934
0.00238333095  -8.789045713197668
0.0023888865  -7.448525434529925
0.00239444205  -7.273214781444812
0.0023999976  -6.857336782606151
0.0024055531499999998  -6.887675374086947
0.0024111086999999997  -27.69664958425914
0.0024166642499999997  -27.494939515571755
0.0024222198  -27.30753083344224
0.00242777535  -27.028642047823308
0.0024333309  -11.655377738787047
0.00243888645  -6.061077804407618
0.002444442  -3.7038804440305007
0.0024499975499999997  -3.532171404576239
0.0024555530999999997  -3.3625528010697585
0.00246110865  -3.3471437192996074
0.0024666642  -3.234289995561323
0.00247221975  -3.3842521965556522
0.0024777753  -3.4664923985745
0.00248333085  -9.282088554349754
0.0024888863999999998  -9.357929762326048
0.0024944419499999997  -22.897732727939044
0.0024999975  -20.82223598563088
0.00250555305  -20.49758312636129
0.0025111086  -19.970110431689093
0.00251666415  0.17628313668602746
0.0025222197  0.3963614126156546
0.0025277752499999998  0.5127824224560018
0.0025333307999999997  0.5872008051587568
0.0025388863499999996  0.8739077035904533
0.0025444419  0.9728683108371682
0.00254999745  -17.541988465085286
0.002555553  -15.786767079974748
0.00256110855  -15.409181757336391
0.0025666641  -14.869144464419978
0.0025722196499999997  -1.19014448760894
0.0025777751999999997  -0.8727823470957858
0.00258333075  5.4913515480486845
0.0025888863  5.763466868477095
0.00259444185  5.805534974723777
0.0025999974  5.849383150669989
0.00260555295  6.814576129061502
0.0026111084999999997  8.2581647764249
0.0026166640499999997  8.246552706442307
0.0026222196  2.210838967630961
0.00262777515  1.8442330964273237
0.0026333307  -10.086176725977932
0.00263888625  -9.829703577599355
0.0026444418  -9.660962934327234
0.0026499973499999998  -9.185938740363033
0.0026555528999999997  8.603573893540986
0.0026611084499999996  8.813013142016832
0.002666664  10.765173238209112
0.00267221955  10.716087042591171
0.0026777751  10.537279661100012
0.00268333065  10.016614679025672
0.0026888861999999998  -7.268583398987856
0.0026944417499999997  -7.338688776598817
